fx,fy,fz,tx,ty,tz,t
0.329172,-0.0443854,0.288656,-9.28562e-05,-0.000143406,0.00586353,233514
0.362869,-0.144219,0.269248,0.00586526,0.00200862,0.00625328,234922
0.20198,-0.0544976,0.252794,0.00139953,9.10069e-05,0.00898283,236364
0.276435,-0.0202946,0.187461,-0.000105497,0.00337777,0.00898835,236815
0.0371708,0.0446377,0.178273,-0.00300262,0.000178382,0.00953826,237798
-0.21612,0.00799282,0.151249,-0.000952895,-0.00511527,0.00759939,239236
-0.223978,0.0210756,0.136946,-0.00191703,-0.00521782,0.0106477,240655
-0.163968,0.186017,0.155561,-0.00915675,-0.00258869,0.0106906,240743
-0.0401887,0.171028,0.145783,-0.00851148,-0.000932217,0.0101135,242095
0.178395,0.135178,0.128305,-0.00680725,0.00320113,0.00761406,243527
-0.0990729,0.0703121,0.144177,-0.00395884,-0.00898381,0.007611,244682
0.0144993,0.089039,0.135193,-0.00515486,-0.00604565,0.00983226,244966
-0.0553234,0.099699,0.126973,-0.00468969,-0.00679657,0.0107225,246382
-0.181892,0.174319,0.126645,-0.00812671,-0.00855208,0.00990294,247820
0.135105,0.10672,0.118935,-0.00515958,0.00536587,0.00986677,248608
-0.0117608,0.0766319,0.112819,-0.00446447,0.00248334,0.0100704,249251
-0.0194145,-0.0100561,0.097483,-0.000111629,0.00185173,0.0116273,250734
0.0957089,0.0570826,0.105241,-0.00383135,0.00397042,0.0103465,252161
0.35114,0.0105754,0.173905,-0.001786,0.0151643,0.0103196,252539
0.468096,-0.0235395,0.158618,-0.000222101,0.0171453,0.00761934,253573
0.548027,-0.0539201,0.155207,0.00200734,0.0197772,0.00922603,254981
0.441996,0.0402527,0.170624,-0.00315257,0.0179778,0.0109199,256454
0.0903881,0.0542614,0.192848,-0.00376633,0.00253636,0.0109429,256463
-0.0183299,-0.045489,0.193844,0.00133475,0.00118506,0.00732102,257860
-0.162211,-0.0392053,0.207888,0.000756824,-0.0018282,0.00918458,259279
-0.0728245,0.051394,0.230437,-0.00321915,0.00208946,0.00920508,260417
-0.0595006,0.062345,0.240356,-0.00425189,0.00192066,0.0103192,260754
0.0438604,-0.00114313,0.235855,-0.000954625,0.0038664,0.00964414,262153
0.125901,0.0637497,0.244261,-0.00415232,0.00536531,0.00626538,263585
0.197834,0.125936,0.263822,-0.00688114,0.00851759,0.00627887,264329
0.180293,0.0753677,0.259305,-0.00460945,0.00946158,0.00957144,265025
-0.0426127,0.0674302,0.257206,-0.00342752,0.00566788,0.00989529,266434
-0.287246,0.139836,0.268869,-0.00701022,0.00178871,0.00856405,267874
-0.297386,0.0537851,0.298201,-0.00323111,0.00133537,0.00854051,268242
-0.573103,0.0499282,0.292999,-0.00254981,-0.00475794,0.0101025,269332
-0.630223,0.07211,0.297028,-0.00369308,-0.00663332,0.00990807,270757
-0.541758,0.103408,0.31051,-0.00606332,-0.00616561,0.00929442,272165
-0.690661,0.148049,0.336009,-0.00802161,-0.0127094,0.00931501,272211
-0.526102,0.0783672,0.341517,-0.00425085,-0.01048,0.00714123,273630
-0.453564,0.0656386,0.360917,-0.00375523,-0.0081755,0.00952628,275048
-0.573386,0.0962695,0.346239,-0.00510069,-0.0134314,0.00954137,276125
-0.730654,0.0994542,0.355973,-0.00532556,-0.0168429,0.00933388,276479
-0.930599,0.13569,0.360515,-0.00603901,-0.0202496,0.00861115,277901
-1.1973,0.241372,0.376836,-0.011071,-0.0265831,0.0115789,279343
-0.79825,0.159263,0.398541,-0.00746528,-0.00907121,0.0115342,280061
-0.836296,0.128068,0.406594,-0.00608472,-0.011156,0.00896901,280779
-0.734347,0.0781209,0.425532,-0.00429924,-0.0107004,0.00764149,282217
-0.549083,0.0523162,0.44857,-0.00407084,-0.00828632,0.00716389,283659
-0.718828,0.0795015,0.467409,-0.00526321,-0.0157432,0.00718074,283987
-0.608092,-0.00299028,0.47189,-0.000770492,-0.0133344,0.00792027,285059
-0.736885,0.061395,0.482871,-0.00352146,-0.0162241,0.0103702,286499
-0.873662,0.0800987,0.421209,-0.00434589,-0.0222112,0.0103829,287920
-1.03681,0.146135,0.420646,-0.00722121,-0.0251512,0.00779323,287966
-1.25884,0.184025,0.426367,-0.00869032,-0.0308191,0.0120722,289398
-1.27143,0.177647,0.442216,-0.00958006,-0.0323865,0.0101057,290815
-0.861569,0.0663481,0.454931,-0.00469348,-0.0143977,0.0100523,291864
-0.733872,-0.0683047,0.464024,0.000453655,-0.0133694,0.00820682,292250
-0.54862,-0.124561,0.472278,0.00313568,-0.0110307,0.00701509,293700
-0.426435,-0.107621,0.478355,0.00258083,-0.00826665,0.00913893,295152
-0.0925371,-0.0830174,0.48939,0.00150137,0.00638797,0.00912765,295786
-0.20416,-0.0456811,0.482227,0.000842865,0.00374847,0.0101949,296568
-0.344172,0.0564312,0.478886,-0.00378488,0.00122006,0.00725705,298030
-0.532415,0.089922,0.485414,-0.00513771,-0.00370808,0.00908951,299402
-0.485551,0.106856,0.451999,-0.00588291,-0.00164145,0.0090917,299727
-0.44395,0.0826546,0.458716,-0.00540383,-0.00210622,0.00894057,300870
-0.255696,-0.0253226,0.467171,-0.00137063,0.000146127,0.0084739,302272
-0.0263037,-0.0597739,0.46323,0.00139282,0.00355543,0.00636544,303704
-0.112058,0.0358875,0.399351,-0.00281007,-0.000191182,0.00639689,303725
0.0645002,0.110279,0.392074,-0.00656556,0.00385433,0.00866091,305158
-0.00972372,0.157006,0.369845,-0.0074985,0.00212857,0.0102335,306580
-0.111591,0.0258461,0.314491,-0.00174375,-0.0023278,0.0102023,307623
-0.208058,0.122662,0.303808,-0.00563063,-0.00360417,0.00829674,308006
-0.375527,0.159087,0.309574,-0.00786851,-0.00779974,0.0109037,309424
-0.332961,0.035916,0.311104,-0.0022427,-0.00770007,0.00884968,310890
-0.0811117,-0.0545441,0.356504,0.00173086,0.00334309,0.00881066,311605
0.0960843,-0.116112,0.361266,0.00323565,0.00575587,0.00727197,312317
0.32738,-0.13643,0.356139,0.00441399,0.00957581,0.00725153,313732
0.494709,-0.121949,0.3428,0.00484358,0.0138662,0.00875027,315177
0.184776,-0.0312453,0.314091,0.000860231,0.000268563,0.00879252,315513
0.104158,0.0482964,0.298559,-0.00300874,-0.00119232,0.0099904,316606
-0.014345,0.0682254,0.290794,-0.00372023,-0.00223191,0.00790112,318082
-0.289141,0.063684,0.265878,-0.00352223,-0.0142882,0.0079148,319445
-0.481919,0.0371513,0.260663,-0.00352122,-0.0186522,0.00961141,319462
-0.455255,-0.041274,0.255432,-0.000456478,-0.0184906,0.00823604,320909
-0.297871,-0.0905915,0.248923,0.00212571,-0.0161593,0.00874899,322324
-0.0746578,-0.0937164,0.260881,0.00226354,-0.00636384,0.00873597,323385
0.15767,-0.0319705,0.25601,-0.000885504,-0.00226821,0.00738798,323747
0.339614,-0.0758199,0.246598,0.00176147,0.00247196,0.00838621,325193
0.266985,-0.0451104,0.236407,0.000630731,0.00135923,0.00989071,326600
0.202737,-0.0828504,0.276554,0.00228966,-0.0014724,0.00988364,327331
0.0939142,-0.0243484,0.28849,-0.000319408,-0.00211338,0.00853268,328050
-0.101359,-0.0846514,0.287056,0.00227629,-0.00620662,0.0105943,329486
-0.0783594,-0.10241,0.285937,0.00307482,-0.00591992,0.0102397,330924
-0.130038,0.00960769,0.320753,-0.00184073,-0.0081983,0.0102739,331238
-0.00125539,0.0398375,0.328855,-0.00365197,-0.00602452,0.00911791,332373
0.187517,0.0199827,0.315845,-0.00232202,-0.00235895,0.00686613,333806
0.0447682,0.0971106,0.297782,-0.00570883,-0.0086204,0.00689549,335174
0.147102,0.100108,0.294959,-0.00540419,-0.00542672,0.00788768,335246
0.0511285,0.110281,0.289307,-0.0060967,-0.00668299,0.00853514,336683
-0.0793591,0.130611,0.285031,-0.00660612,-0.00800134,0.00715564,338117
0.051663,0.055414,0.305861,-0.00330394,-0.00225545,0.00712747,339103
-0.145096,0.12002,0.308902,-0.0062912,-0.00634509,0.0086951,339503
-0.130666,0.0964183,0.299063,-0.0048294,-0.00610253,0.008845,340945
0.00243291,0.103465,0.303214,-0.00574201,-0.00410817,0.0085742,342404
0.107986,0.108197,0.321296,-0.00594873,0.000520414,0.00856978,343032
0.316492,0.0844466,0.323193,-0.00533991,0.00465815,0.00780686,343829
